,r_id,veg_class
0,73440,2
1,365718,0
2,141757,0
3,280351,0
4,180505,2
5,350271,2
6,21518,0
7,137143,0
8,211563,1
9,29280,1
10,57685,2
11,13148,0
12,87782,2
13,117043,0
14,48153,0
15,83407,0
16,375021,0
17,139664,0
18,157936,0
19,461793,0
20,24618,1
21,270809,0
22,31008,0
23,84439,0
24,348802,1
25,14190,0
26,6867,0
27,48401,0
28,37336,0
29,214804,0
30,143935,0
31,25990,2
32,28148,0
33,122290,2
34,221280,0
35,26756,1
36,18890,0
37,28556,0
38,90935,0
39,381726,2
40,162015,0
41,299587,0
42,292220,0
43,87295,2
44,360075,0
45,101619,1
46,49230,2
47,138782,0
48,422827,0
49,159967,0
50,113216,2
51,25343,0
52,203946,0
53,55269,2
54,227791,2
55,56518,2
56,7295,2
57,36267,0
58,496614,2
59,30081,2
60,209706,0
61,230872,2
62,397620,2
63,283493,0
64,43427,0
65,166569,0
66,144664,0
67,125287,0
68,128347,0
69,60560,2
70,264037,0
71,102734,0
72,3503,0
73,505821,0
74,111739,0
75,413958,1
76,491289,0
77,57687,0
78,45809,0
79,438884,0
80,151799,2
81,217062,0
82,238798,1
83,31342,0
84,406380,0
85,494667,1
86,440915,0
87,12015,1
88,60165,0
89,95788,0
90,129198,0
91,93026,2
92,17134,0
93,74086,0
94,9319,0
95,26451,0
96,110311,0
97,176719,2
98,163286,0
99,22053,0
100,376204,2
101,137629,0
102,307730,2
103,392158,1
104,229548,0
105,57413,1
106,28011,0
107,22267,2
108,155616,0
109,16879,0
110,255239,0
111,35341,0
112,260767,0
113,37120,2
114,257723,0
115,62855,0
116,72639,0
117,322465,0
118,228809,0
119,255672,0
120,268539,0
121,28408,2
122,38766,0
123,221743,0
124,11971,0
125,67238,0
126,439084,0
127,125227,0
128,54257,1
129,183629,1
130,16171,2
131,216041,2
132,312259,0
133,23941,0
134,214965,0
135,82674,1
136,87892,1
137,103572,2
138,73825,0
139,468583,2
140,54269,0
141,364662,0
142,130650,0
143,118409,1
144,316406,1
145,165826,0
146,206388,2
147,134182,0
148,111949,2
149,25690,1
150,11431,0
151,67478,0
152,100793,1
153,109408,0
154,37968,0
155,170190,1
156,277167,0
157,203759,0
158,247796,0
159,45005,1
160,73241,1
161,222625,0
162,9327,1
163,324890,0
164,334135,2
165,65645,1
166,252294,1
167,457972,1
168,115688,2
169,138786,0
170,113762,2
171,43140,0
172,21256,1
173,266473,2
174,482385,0
175,388740,0
176,279191,2
177,21882,0
178,38624,2
179,228230,0
180,128105,0
181,276628,0
182,87521,2
183,74275,0
184,15411,1
185,79595,0
186,302886,2
187,70366,1
188,91720,2
189,104086,0
190,375710,2
191,28758,0
